11635
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Huitième extrait>,<>,<>
s',se,51
aperçut,apercevoir,19
qu',que,83
un,un,71
nom,nom,21
restait,rester,18
encore,encore,60
sur,sur,81
sa,son,73
liste,liste,22
",",",",p
le,le,71
catleya,catleya,21
de,de,81
la,le,71
nouvelle,nouveau,30
Grenade,Grenade,20
;,;,p
on,on,51
lui,lui,51
désigna,désigner,19
une,un,71
clochette,clochette,22
ailée,ailé,30
d',de,81
un,un,71
lilas,lilas,21
effacé,effacé,31
",",",",p
d',de,81
un,un,71
mauve,mauve,21
presque,presque,60
éteint,éteint,31
;,;,p
il,il,51
s',se,51
approcha,approcher,19
",",",",p
mit,mettre,19
son,son,73
nez,nez,21
dessus,dessus,60
et,et,82
recula,reculer,19
brusquement,brusquement,60
;,;,p
elle,il,51
exhalait,exhaler,18
une,un,71
odeur,odeur,22
de,de,81
sapin,sapin,21
verni,verni,31
",",",",p
de,de,81
boîte,boîte,22
à,à,81
jouets,jouet,21
",",",",p
évoquait,évoquer,18
les,le,71
horreurs,horreur,22
d',de,81
un,un,71
jour,jour,21
de,de,81
l',le,71
an,an,21
/.,/.,P
il,il,51
pensa,penser,19
qu',que,83
il,il,51
ferait,faire,16
bien,bien,60
de,de,81
se,se,51
défier,défier,14
d',de,81
elle,il,51
",",",",p
regretta,regretter,19
presque,presque,60
d',de,81
avoir,avoir,14
admis,admettre,12
parmi,parmi,81
les,le,71
plantes,plante,22
inodores,inodore,30
qu',que,52
il,il,51
possédait,posséder,18
",",",",p
cette,ce,74
orchidée,orchidée,22
qui,qui,52
fleurait,fleurer,18
les,le,71
plus,plus,60
désagréables,désagréable,30
des,de,81
des,le,71
souvenirs,souvenir,21
/.,/.,P
une,un,71
fois,fois,22
seul,seul,30
",",",",p
il,il,51
regarda,regarder,19
cette,ce,74
marée,marée,22
de,de,81
végétaux,végétal,21
qui,qui,52
déferlait,déferler,18
dans,dans,81
son,son,73
vestibule,vestibule,21
;,;,p
ils,ils,51
se,se,51
mêlaient,mêler,18
",",",",p
les,le,71
uns,un,52
aux,à,81
aux,le,71
autres,autre,52
",",",",p
croisaient,croiser,18
leurs,leur,73
épées,épée,22
",",",",p
leurs,leur,73
kriss,kriss,21
",",",",p
leurs,leur,73
fers,fer,21
de,de,81
lances,lance,22
",",",",p
dessinaient,dessiner,18
un,un,71
faisceau,faisceau,21
d',de,81
armes,arme,22
vertes,vert,30
",",",",p
au-dessus,au-dessus,60
duquel,de,81
duquel,lequel,52
flottaient,flotter,18
",",",",p
ainsi,ainsi,60
que,que,83
des,de,81
des,le,71
fanions,fanion,21
barbares,barbare,30
",",",",p
des,de,81
des,le,71
fleurs,fleur,22
aux,à,81
aux,le,71
tons,ton,21
aveuglants,aveuglant,30
et,et,82
durs,dur,30
/.,/.,P
l',le,71
air,air,21
de,de,81
la,le,71
pièce,pièce,22
se,se,51
raréfiait,raréfier,18
;,;,p
bientôt,bientôt,60
",",",",p
dans,dans,81
l',le,71
obscurité,obscurité,22
d',de,81
une,un,71
encoignure,encoignure,22
",",",",p
près,près,81
du,de,81
du,le,71
parquet,parquet,21
",",",",p
une,un,71
lumière,lumière,22
rampa,ramper,19
",",",",p
blanche,blanc,30
et,et,82
douce,doux,30
",",",",p
il,il,51
l',le,52
atteignit,atteindre,19
et,et,82
s',se,51
aperçut,apercevoir,19
que,que,83
c',ce,52
étaient,être,18
des,de,81
des,le,71
rhizomorphes,rhizomorphe,21
qui,qui,52
jetaient,jeter,18
en,en,81
respirant,respirer,13
ces,ce,74
lueurs,lueur,22
de,de,81
veilleuses,veilleuse,22
/.,/.,P
ces,ce,74
plantes,plante,22
sont,être,17
tout,tout,60
de,de,81
même,même,60
stupéfiantes,stupéfiant,30
",",",",p
se,se,51
dit,dire,17
il,il,51
;,;,p
puis,puis,60
il,il,51
se,se,51
recula,reculer,19
et,et,82
en,en,52
couvrit,couvrir,19
d',de,81
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
l',le,71
amas,amas,21
:,:,p
son,son,73
but,but,21
était,être,18
atteint,atteindre,12
;,;,p
aucune,aucun,52
ne,ne,60
semblait,sembler,18
réelle,réel,30
;,;,p
l',le,71
étoffe,étoffe,22
",",",",p
le,le,71
papier,papier,21
",",",",p
la,le,71
porcelaine,porcelaine,22
",",",",p
le,le,71
métal,métal,21
",",",",p
paraissaient,paraître,18
avoir,avoir,14
été,être,12
prêtés,prêter,12
par,par,81
l',le,71
homme,homme,21
à,à,81
la,le,71
nature,nature,22
pour,pour,81
lui,lui,51
permettre,permettre,14
de,de,81
créer,créer,14
ses,son,73
monstres,monstre,21
",",",",p
quand,quand,83
elle,il,51
n',ne,60
avait,avoir,18
pu,pouvoir,12
imiter,imiter,14
l',le,71
oeuvre,oeuvre,22
humaine,humain,30
",",",",p
elle,il,51
avait,avoir,18
été,être,12
réduite,réduire,12
à,à,81
recopier,recopier,14
les,le,71
membranes,membrane,22
intérieures,intérieur,30
des,de,81
des,le,71
animaux,animal,21
",",",",p
à,à,81
emprunter,emprunter,14
les,le,71
vivaces,vivace,30
teintes,teinte,22
de,de,81
leurs,leur,73
chairs,chair,22
en,en,81
pourriture,pourriture,22
",",",",p
les,le,71
magnifiques,magnifique,30
hideurs,hideur,22
de,de,81
leurs,leur,73
gangrènes,gangrène,22
/.,/.,P
tout,tout,52
n',ne,60
est,être,17
que,que,83
syphilis,syphilis,22
",",",",p
songea,songer,19
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
l',le,71
oeil,oeil,21
attiré,attiré,31
",",",",p
rivé,rivé,31
sur,sur,81
les,le,71
horribles,horrible,30
tigrures,tigrure,22
des,de,81
des,le,71
caladium,caladion,21
que,que,52
caressait,caresser,18
un,un,71
rayon,rayon,21
de,de,81
jour,jour,21
/.,/.,P
et,et,82
il,il,51
eut,avoir,19
la,le,71
brusque,brusque,30
vision,vision,22
d',de,81
une,un,71
humanité,humanité,22
sans,sans,81
cesse,cesse,22
travaillée,travaillé,31
par,par,81
le,le,71
virus,virus,21
des,de,81
des,le,71
anciens,ancien,30
âges,âge,21
/.,/.,P
depuis,depuis,81
le,le,71
commencement,commencement,21
du,de,81
du,le,71
monde,monde,21
",",",",p
de,de,81
pères,père,21
en,en,81
fils,fils,21
",",",",p
toutes,tout,75
les,le,71
créatures,créature,22
se,se,51
transmettaient,transmettre,18
l',le,71
inusable,inusable,30
héritage,héritage,21
",",",",p
l',le,71
éternelle,éternel,30
maladie,maladie,22
qui,qui,52
a,avoir,17
ravagé,ravager,12
les,le,71
ancêtres,ancêtre,21
de,de,81
l',le,71
homme,homme,21
",",",",p
qui,qui,52
a,avoir,17
creusé,creuser,12
jusqu',jusque,81
aux,à,81
aux,le,71
os,os,21
maintenant,maintenant,60
exhumés,exhumé,31
des,de,81
des,le,71
vieux,vieux,30
fossiles,fossile,21
/!,/!,P
elle,il,51
avait,avoir,18
couru,courir,12
",",",",p
sans,sans,81
jamais,jamais,60
s',se,51
épuiser,épuiser,14
à,à,81
travers,travers,21
les,le,71
siècles,siècle,21
;,;,p
aujourd'hui,aujourd'hui,60
encore,encore,60
",",",",p
elle,il,51
sévissait,sévir,18
",",",",p
se,se,51
dérobant,dérober,13
en,en,81
de,de,81
sournoises,sournois,30
souffrances,souffrance,22
",",",",p
se,se,51
dissimulant,dissimuler,13
sous,sous,81
les,le,71
symptômes,symptôme,21
des,de,81
des,le,71
migraines,migraine,22
et,et,82
des,de,81
des,le,71
bronchites,bronchite,22
",",",",p
des,de,81
des,le,71
vapeurs,vapeur,22
et,et,82
des,de,81
des,le,71
gouttes,goutte,22
;,;,p
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
elle,il,51
grimpait,grimper,18
à,à,81
la,le,71
surface,surface,22
",",",",p
s',se,51
attaquant,attaquer,13
de,de,81
préférence,préférence,22
aux,à,81
aux,le,71
gens,gens,21
mal,mal,60
soignés,soigné,31
",",",",p
mal,mal,60
nourris,nourri,31
",",",",p
éclatant,éclater,13
en,en,81
pièces,pièce,22
d',de,81
or,or,21
",",",",p
mettant,mettre,13
",",",",p
par,par,81
ironie,ironie,22
",",",",p
une,un,71
parure,parure,22
de,de,81
sequins,sequin,21
d',de,81
almée,almée,22
sur,sur,81
le,le,71
front,front,21
des,de,81
des,le,71
pauvres,pauvre,30
diables,diable,21
",",",",p
leur,leur,52
gravant,graver,13
",",",",p
pour,pour,81
comble,comble,21
de,de,81
misère,misère,22
",",",",p
sur,sur,81
l',le,71
épiderme,épiderme,21
",",",",p
l',le,71
image,image,22
de,de,81
l',le,71
argent,argent,21
et,et,82
du,de,81
du,le,71
bien-être,bien-être,21
/!,/!,P
et,et,82
la,le,52
voilà,voilà,81
qui,qui,52
reparaissait,reparaître,18
",",",",p
en,en,81
sa,son,73
splendeur,splendeur,22
première,premier,72
",",",",p
sur,sur,81
les,le,71
feuillages,feuillage,21
colorés,coloré,31
des,de,81
des,le,71
plantes,plante,22
/!,/!,P
il,il,51
est,être,17
vrai,vrai,30
",",",",p
poursuivit,poursuivre,19
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
revenant,revenir,13
au,à,81
au,le,71
point,point,21
de,de,81
départ,départ,21
de,de,81
son,son,73
raisonnement,raisonnement,21
",",",",p
il,il,51
est,être,17
vrai,vrai,30
que,que,83
la,le,71
plupart,plupart,22
du,de,81
du,le,71
temps,temps,21
la,le,71
nature,nature,22
est,être,17
",",",",p
à,à,81
elle,il,51
seule,seul,30
",",",",p
incapable,incapable,30
de,de,81
procréer,procréer,14
des,de,81
des,le,71
espèces,espèce,22
aussi,aussi,60
malsaines,malsain,30
et,et,82
aussi,aussi,60
perverses,pervers,30
;,;,p
elle,il,51
fournit,fournir,17
la,le,71
matière,matière,22
première,premier,72
",",",",p
le,le,71
germe,germe,21
et,et,82
le,le,71
sol,sol,21
",",",",p
la,le,71
matrice,matrice,22
nourricière,nourricier,30
et,et,82
les,le,71
éléments,élément,21
de,de,81
la,le,71
plante,plante,22
que,que,52
l',le,71
homme,homme,21
élève,élever,17
",",",",p
modèle,modeler,17
",",",",p
peint,peindre,17
",",",",p
sculpte,sculpter,17
ensuite,ensuite,60
à,à,81
sa,son,73
guise,guise,22
/.,/.,P
si,si,60
entêtée,entêté,31
",",",",p
si,si,60
confuse,confus,30
",",",",p
si,si,60
bornée,borné,31
qu',que,83
elle,il,51
soit,être,17
",",",",p
elle,il,51
s',se,51
est,être,17
enfin,enfin,60
soumise,soumettre,12
",",",",p
et,et,82
son,son,73
maître,maître,21
est,être,17
parvenu,parvenir,12
à,à,81
changer,changer,14
par,par,81
des,de,81
des,le,71
réactions,réaction,22
chimiques,chimique,30
les,le,71
substances,substance,22
de,de,81
la,le,71
terre,terre,22
",",",",p
à,à,81
user,user,14
de,de,81
combinaisons,combinaison,22
longuement,longuement,60
mûries,mûri,31
",",",",p
de,de,81
croisements,croisement,21
lentement,lentement,60
apprêtés,apprêté,31
",",",",p
à,à,81
se,se,51
servir,servir,14
de,de,81
savantes,savant,30
boutures,bouture,22
",",",",p
de,de,81
méthodiques,méthodique,30
greffes,greffe,22
",",",",p
et,et,82
il,il,51
lui,lui,51
fait,faire,17
maintenant,maintenant,60
pousser,pousser,14
des,de,81
des,le,71
fleurs,fleur,22
de,de,81
couleurs,couleur,22
différentes,différent,30
sur,sur,81
la,le,71
même,même,75
branche,branche,22
",",",",p
invente,inventer,17
pour,pour,81
elle,il,51
de,de,81
nouveaux,nouveau,30
tons,ton,21
",",",",p
modifie,modifier,17
",",",",p
à,à,81
son,son,73
gré,gré,21
",",",",p
la,le,71
forme,forme,22
séculaire,séculaire,30
de,de,81
ses,son,73
plantes,plante,22
",",",",p
débrutit,débrutir,17
les,le,71
blocs,bloc,21
",",",",p
termine,terminer,17
les,le,71
ébauches,ébauche,22
",",",",p
les,le,71
marques,marque,22
de,de,81
son,son,73
étampe,étampe,22
",",",",p
leur,leur,52
imprime,imprimer,17
son,son,73
cachet,cachet,21
d',de,81
art,art,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
à,à,81
dire,dire,14
",",",",p
fit,faire,19
il,il,51
",",",",p
résumant,résumer,13
ses,son,73
réflexions,réflexion,22
;,;,p
l',le,71
homme,homme,21
",",",",p
peut,pouvoir,17
en,en,81
quelques,quelque,75
années,année,22
amener,amener,14
une,un,71
sélection,sélection,22
que,que,52
la,le,71
paresseuse,paresseux,30
nature,nature,22
ne,ne,60
peut,pouvoir,17
jamais,jamais,60
produire,produire,14
qu',que,83
après,après,81
des,de,81
des,le,71
siècles,siècle,21
;,;,p
décidément,décidément,60
",",",",p
par,par,81
le,le,71
temps,temps,21
qui,qui,52
court,courir,17
",",",",p
les,le,71
horticulteurs,horticulteur,21
sont,être,17
les,le,71
seuls,seul,30
et,et,82
les,le,71
vrais,vrai,30
artistes,artiste,21
/.,/.,P
il,il,51
était,être,18
un,un,71
peu,peu,60
las,las,30
et,et,82
il,il,51
étouffait,étouffer,18
dans,dans,81
cette,ce,74
atmosphère,atmosphère,22
de,de,81
plantes,plante,22
enfermées,enfermé,31
;,;,p
les,le,71
courses,course,22
qu',que,52
il,il,51
avait,avoir,18
effectuées,effectuer,12
",",",",p
depuis,depuis,81
quelques,quelque,75
jours,jour,21
",",",",p
l',le,52
avaient,avoir,18
rompu,rompre,12
;,;,p
le,le,71
passage,passage,21
entre,entre,81
le,le,71
grand,grand,30
air,air,21
et,et,82
la,le,71
tiédeur,tiédeur,22
du,de,81
du,le,71
logis,logis,21
",",",",p
entre,entre,81
l',le,71
immobilité,immobilité,22
d',de,81
une,un,71
vie,vie,22
recluse,reclus,31
et,et,82
le,le,71
mouvement,mouvement,21
d',de,81
une,un,71
existence,existence,22
libérée,libéré,31
",",",",p
avait,avoir,18
été,être,12
trop,trop,60
brusque,brusque,30
;,;,p
il,il,51
quitta,quitter,19
son,son,73
vestibule,vestibule,21
et,et,82
fut,être,19
s',se,51
étendre,étendre,14
sur,sur,81
son,son,73
lit,lit,21
;,;,p
mais,mais,82
",",",",p
absorbé,absorbé,31
par,par,81
un,un,71
sujet,sujet,21
unique,unique,30
",",",",p
comme,comme,83
monté,monté,31
par,par,81
un,un,71
ressort,ressort,21
",",",",p
l',le,71
esprit,esprit,21
",",",",p
bien,bien,60
qu',que,83
endormi,endormi,31
",",",",p
continua,continuer,19
de,de,81
dévider,dévider,14
sa,son,73
chaîne,chaîne,22
",",",",p
et,et,82
bientôt,bientôt,60
il,il,51
roula,rouler,19
dans,dans,81
les,le,71
sombres,sombre,30
folies,folie,22
d',de,81
un,un,71
cauchemar,cauchemar,21
/.,/.,P
il,il,51
se,se,51
trouvait,trouver,18
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
une,un,71
allée,allée,22
en,en,81
plein,plein,30
bois,bois,21
",",",",p
au,à,81
au,le,71
crépuscule,crépuscule,21
;,;,p
il,il,51
marchait,marcher,18
à,à,81
côté,côté,21
d',de,81
une,un,71
femme,femme,22
qu',que,52
il,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
ni,ni,82
connue,connaître,12
",",",",p
ni,ni,82
vue,voir,12
;,;,p
elle,il,51
était,être,18
efflanquée,efflanqué,30
",",",",p
avait,avoir,18
des,de,81
des,le,71
cheveux,cheveu,21
filasse,filasse,22
",",",",p
une,un,71
face,face,22
de,de,81
bouledogue,bouledogue,21
",",",",p
des,de,81
des,le,71
points,point,21
de,de,81
son,son,21
sur,sur,81
les,le,71
joues,joue,22
",",",",p
des,de,81
des,le,71
dents,dent,22
de,de,81
travers,travers,21
lancées,lancé,31
en,en,81
avant,avant,21
sous,sous,81
un,un,71
nez,nez,21
camus,camus,30
/.,/.,P
elle,il,51
portait,porter,18
un,un,71
tablier,tablier,21
blanc,blanc,30
de,de,81
bonne,bonne,22
",",",",p
un,un,71
long,long,30
fichu,fichu,21
écartelé,écartelé,31
en,en,81
buffleterie,buffleterie,22
sur,sur,81
la,le,71
poitrine,poitrine,22
",",",",p
des,de,81
des,le,71
demi-bottes,demi-botte,22
de,de,81
soldat,soldat,21
prussien,prussien,30
",",",",p
un,un,71
bonnet,bonnet,21
noir,noir,30
orné,orné,31
de,de,81
ruches,ruche,22
et,et,82
garni,garni,31
d',de,81
un,un,71
chou,chou,21
/.,/.,P
elle,il,51
avait,avoir,18
l',le,71
air,air,21
d',de,81
une,un,71
foraine,forain,30
",",",",p
l',le,71
apparence,apparence,22
d',de,81
/.,/.,P
